Name,Purpose & context,URL
Go,Programming in general,https://go.dev/
fsm,Go package for encoding state machines. Exports mermaid diagrams. ,https://github.com/looplab/fsm
cmp,Go package for reducing test writing efforts,https://github.com/google/go-cmp
oapi-codegen,Go package enabling spec-first OpenAPI-development,https://github.com/oapi-codegen/oapi-codegen
goose,DB migration in golang,https://github.com/pressly/goose
Testcontainers,Handles ephemeral environments of otherwise tricky dependencies (i.e. temporary postgres instances),https://github.com/testcontainers/testcontainers-go
