Name,Purpose & context,URL
Keychron K8 Pro,Very comfortable keyboard,https://www.keychron.com/products/keychron-k8-pro-qmk-via-wireless-mechanical-keyboard?_pos=1&_psq=k8+pro&_ss=e&_v=1.0&variant=40558016757849
Logitech G MX518,So happy when this got revived,
