Name,Purpose & context,URL
consent-o-matchi,Anti cookie-popups,https://addons.mozilla.org/en-GB/android/addon/consent-o-matic/
dark reader,Automatic dark mode,https://darkreader.org/
grasp,Bookmarks current page into an org file,https://addons.mozilla.org/en-US/firefox/addon/grasp/
languagetool,Effortless spell- & grammar checking everywhere,https://languagetool.org/
uBlock origin,Blocks ads,https://addons.mozilla.org/en-US/firefox/addon/ublock-origin/
vimium,Vim bindings when browsing,https://addons.mozilla.org/en-US/firefox/addon/vimium-ff/
